Title,Total Cook Time,Prep Time,Cook Time,Recipe Servings,Difficulty,Ingredients,Image Link
Low Calorie Teen Ratna Dal Recipe,35 mins,10 mins,25 mins,3.0,Easy,"1 Cup Mix of chana, green moong and toovar dal, 1 tsp Turmeric powder, 3-4  Green chilli, slited, To taste Salt, 2 Tbsp Onion, chopped, 1/2 tsp Ginger, chopped, 1/2 tsp Garlic, chopped, 1 tsp Cumin seeds, 2  Whole red chillies-, 1 tsp Hing, 1/2 tsp Garam masala powder, 1 Tbsp Mustard oil, 1 tsp Ghee, Freshly chopped coriander  - to garnish",https://c.ndtvimg.com/2023-11/bvaduve_daal-chawal_625x300_01_November_23.jpg
Beetroot Halwa Recipe,40 mins,10 mins,30 mins,4.0,Easy,"300 gms Carrot Skin Peel, 300  Beetroot Skin Peel, 125  Mava, 125  Sugar, 25  Desi Ghee, 15  Cashewnuts, 1  Cardamom Powder, 10  Raisin, 7  Almond Flakes, 50  Milk",https://c.ndtvimg.com/2023-11/rt2d5vdg_beetroot-halwa_625x300_10_November_23.jpg
Multigrain Laddu Recipe,25 mins,05 mins,20 mins,6.0,Easy,"200 gms Multi grain, 150 gram Jaggery, A pinch of Green cardamom powder, 20 gram Ghee, For garnish  Dry Fruits",https://c.ndtvimg.com/2023-11/cer3f43g_multigrain-laddu_625x300_09_November_23.jpg
Kalakand Recipe,25 mins,10 mins,15 mins,4.0,Easy,"20 gms Cashew, 20 gram Almonds, 20 gram Pistachio, 400 gram Paneer, 180 gram Full Fat Milk, 1 medium spoon   Green Cardamom Powder, 171 gram Sweet Condensed Milk, For Garnish, 6 gram Pistachio, 10 gram Almonds",https://c.ndtvimg.com/2023-11/r4n6brao_kalakand_625x300_07_November_23.jpg
Kerala-Style Mutton Curry Recipe,30 mins,05 mins,25 mins,2.0,Easy,"For the mutton:, 350 gram mutton, 1 tsp ginger, chopped, 1 tsp garlic, chopped, 1/2 tsp haldi, 1  green chill, chopped, 1/4 cup shallots, 8-10 curry leaves, Water, as required, Salt, to taste, For the curry:, 2-3 tbsp coconut oil, 1 tsp red chilli powder, ¾  cup sliced onions, 1 tsp grated ginger, 3-4  garlic cloves, chopped, 8-10 curry leaves, ¼  cup tomatoes, 1 tbsp fresh coconut, sliced",https://c.ndtvimg.com/2023-01/96m9juf_mutton-curry_625x300_21_January_23.jpg
Bhapa Doi  Recipe,25 mins,05 mins,20 mins,2.0,Easy,"2 Cups Yoghurt, 1 Cup Condensed Milk, 1/4 tsp Cardamom Powder, 2 Tbsp Saffron Milk, 2 Gram Nuts",https://c.ndtvimg.com/2023-10/2k8dvs6g_bhapa-doi-_625x300_20_October_23.jpg
Achaari Lachha Paratha Recipe,25 mins,05 mins,20 mins,2.0,Easy,"2 Cups atta, 1/2 tsp ajwain, 2 tsp oil, Water, for kneading, Salt, to taste, 3 tsp coriander seeds, 1 tsp fennel, 1 tsp pepper, 1/2 tsp haldi, 1/2 tsp amchoor powder, 2 dry red chillies, 1/2 tsp methi, 1 tsp cumin, Ghee, as required",https://c.ndtvimg.com/2019-10/fp9ul3rg_lachha-paratha_625x300_23_October_19.jpg
Ragi Paratha Recipe,20 mins,05 mins,15 mins,2.0,Easy,"1 Cup Ragi flour, 1/2 cup wheat flour, 1/4 cup finely chopped onions, 1/4 cup finely chopped coriander leaves, 1-2  green chillies, finely chopped (adjust according to your spice preference), Salt to taste, Ghee or oil for roasting",https://c.ndtvimg.com/2019-06/nrm7o4ug_diabetes-diet-ragi-roti_625x300_11_June_19.jpg
Punjabi Baigan Bharta Recipe,30 mins,10 mins,20 mins,4.0,Easy,"2  eggplants, 1 tbsp oil, 1 tbsp ghee, 1 tbsp garlic, chopped, 1 inch ginger, chopped, 1  green chilli, chopped, 2  onions, chopped, 2  tomatoes, chopped, 1 tsp red chili powder, 1 tsp turmeric powder, 1 tsp coriander powder, 1 tsp cumin powder, 1 tsp Punjabi garam masala, Salt to taste, Fresh coriander for garnish",https://c.ndtvimg.com/2022-09/856hhjoo_baingan-bharta_625x300_16_September_22.jpg
Baingan Sambhar Recipe,30 mins,05 mins,25 mins,4.0,Easy,"2 Large brinjals (baingan), 1 cup toor dal, 1 small piece of tamarind, 2  tomatoes, diced, 2 tbsp sambar powder, 1 tsp mustard seeds, 1/2 tsp fenugreek seeds, 10-12  curry leaves, A pinch of asafoetida (hing), 2 tbsp vegetable oil, Salt to taste, Water, as needed",https://c.ndtvimg.com/2019-09/8lc2tbpg_sambhar_625x300_25_September_19.jpg
Jaggery Malpua Recipe,25 mins,05 mins,20 mins,2.0,Easy,"1 Cup all-purpose flour (maida), 1/2 cup jaggery (gur), grated or chopped, 1/4 cup milk, A pinch of cardamom powder (elaichi), A pinch of fennel seeds (saunf), Ghee (clarified butter) for frying, Chopped nuts (like almonds and pistachios) for garnish",https://c.ndtvimg.com/2022-07/e42mbi08_malpua_625x300_01_July_22.png
Sattu Kachori Recipe,35 mins,10 mins,25 mins,6.0,Easy,"11/2 Cups Sattu, 2  All purpose flour, 1 tsp Fennel Seeds, 1 tsp Cumin, 1 medium Onion, finely chopped, 1 tbsp Green chilli and ginger paste, 1 tsp Red chili powder, 1 tsp Coriander Powder, 1/2 tsp Turmeric, to taste Salt, 1/2 tsp Chaat masla, 1 tsp Aamchoor powder, 1 tsp Carom Seeds, 1 tbsp Lemon Juice, 3 tbsp Ghee, Oil for Frying",https://c.ndtvimg.com/2023-05/pcbst8eo_kachori-3_625x300_04_May_23.jpg
Keerai Vadai (Spinach Vada) Recipe,30 mins,10 mins,20 mins,2.0,Easy,"1/2 Cup chana dal, 2 Tbsp toor dal, 1 Tbsp rice, 1 Cup spinach, A handful of coriander leaves, chopped, A handful of curry leaves, 2 green chillies, 1-inch ginger, chopped, 1 tsp fennel seeds, A pinch of hing, Oil, for frying, Salt, to taste",https://c.ndtvimg.com/2023-06/lav628u8_vada_625x300_06_June_23.jpg
Kumaoni Jholi Recipe,30 mins,10 mins,20 mins,3.0,Easy,"1/2 Cup besan, 2 cups dahi, 1 cup vegetables of your choice, diced, Salt as per taste, 1/2 tsp Kashmiri red chilli powder, 1/2 tsp haldi, 1/2 tsp hing, 1 tsp jeera, 1 tsp dhania powder, 2 whole red chilli, 1 tbsp garlic , chopped, 1.5 tsp coriander leaves, chopped",https://c.ndtvimg.com/2023-06/dcomfkf8_gujarati-kadhi_625x300_23_June_23.jpg
Chilli Cheese Garlic Paratha Recipe,20 mins,05 mins,15 mins,4.0,Easy,"2 Cups wheat flour, A pinch of salt, 1 cup grated cheese (use your favourite variety), 2-3  fresh green chillies, finely chopped, 3-4 fresh crushed or grated  garlic cloves, A pinch of salt, A pinch of red chilli powder, A pinch of cumin powder, Ghee for cooking the parathas",https://c.ndtvimg.com/2023-09/cquj1b_paratha_625x300_20_September_23.jpg
Chilka Roti Recipe,25 mins,05 mins,20 mins,2.0,Easy,"1  rice, 3/4  chana dal, Salt, to taste, Water, as required, Oil, for cooking",https://c.ndtvimg.com/2023-09/vkbc9728_appam_625x300_19_September_23.jpg
Girmit Recipe,30 mins,10 mins,20 mins,2.0,Easy,"4 Cups kurmura (puffed rice), 2  onions, finely chopped, 4  green chillies, finely chopped, 1  tomato, 2 tbsp tamarind pulp, 1 tbsp jaggery powder, 1/2 tsp mustard seeds, 1/2 tsp cumin seeds, ¼  tsp asafoetida (hing), 1 tsp turmeric powder, 1/2 tsp chilli powder, 1 cup roasted chana dal (dalia) powder, 1/2 tsp hot water, 1 tbsp roasted peanuts, 1 tsp coriander leaves, 1 tsp lemon juice, 1 tbsp oil, Salt to taste, Sev for garnish",https://c.ndtvimg.com/2023-09/kinkpkb8_crispy-chaat_625x300_01_September_23.jpg
Gur Choorma Ladoo Recipe,35 mins,15 mins,20 mins,8.0,Medium,"2 Cups Wheat Flour, 11/2 Cup Gud, 1/4 tsp Cardmom Powder, A pinch of Nutmeg Powder, 11/2 Cup Desi Ghee, 1 Cup Oil",https://c.ndtvimg.com/2023-04/qocd5afg_atta-ladoo_625x300_05_April_23.jpg
Obbattu Recipe,35 mins,05 mins,30 mins,3.0,Easy,"2 Cups toor dal 50, 500 gram finely grated jaggery, 1 tsp cardamom powder, 1.5 cup finely grated coconut, 350 gram maida, 7 tsp of oil (or as required), A pinch of salt, 1 tsp turmeric",https://c.ndtvimg.com/2023-05/9s97ra98_puran-poli_625x300_18_May_23.jpg
Atta Vegetable Khichdi Recipe,25 mins,05 mins,20 mins,2.0,Easy,"1 Cup whole wheat flour (atta), Assorted vegetables (carrots, peas, beans, etc.), 2 tbsp ghee (clarified butter), 1 tsp cumin seeds, 1/2 tsp turmeric powder, 1/2 tsp cumin powder, 1/2 tsp coriander powder, Salt to taste, Water",https://c.ndtvimg.com/2023-09/l1uarn4g_atta-vegetable-khichdi_625x300_14_September_23.jpg
Peanut & Jam Modak Recipe,35 mins,05 mins,30 mins,4.0,Easy,"1 Tbsp Ghee, 50 gram Peanut Butter, 40 gram Jaggery, 10 gram Green Cardamom Powder, 100 ml Water, 1/2 tsp Salt, 100 gram Rice flour, 50 gram Fruit Jam",https://c.ndtvimg.com/2023-09/irpk59vg_peanut-jam-modak_625x300_14_September_23.jpg
Kanchipuram Idli Recipe,20 mins,05 mins,15 mins,2.0,Easy,"1 bowl   Idli batter, Salt, as per taste, 2 tsp ghee, 1 spring curry leaves, chopped, 1/2 tsp hing, 1/2 tsp dry ginger powder, 1 tsp cumin seeds, 1  black peppercorn, 2-3  Green Chillies, chopped, 1 tsp soaked chana dal",https://c.ndtvimg.com/2023-03/bqv0c5po_idli_625x300_29_March_23.jpg
Achaari Paneer Pulao Recipe,30 mins,10 mins,20 mins,4.0,Easy,"300 gms paneer, cubed, 2 cups rice, 1 tbsp oil, 1-2 tbsp lemon or green chilli pickle, 4-5  black peppercorns, 1 tsp jeera, 1 tsp fennel seeds, 1 tsp nigella (kalonji) seeds, 1  green bell pepper, chopped, 1  yellow bell pepper, chopped, 1  red bell pepper, chopped, 1/2 cup curd, 1 tsp red chilli powder, 1/2 tsp haldi, 1-2  bay leaf, 3-4 cups water, Salt, to taste, Coriander leaves, for garnish",https://c.ndtvimg.com/2022-10/4m24mou8_pulao_625x300_31_October_22.jpg
Cheese Mysore Masala Dosa Recipe,40 mins,10 mins,30 mins,2.0,Easy,"For batter:, 2 cups rice, 1/2 tsp urad dal, 3 tsp chana dal, 1 tsp methi seeds, Salt, to taste, For aloo masala:, 1 tbsp coconut oil, 1 small onion, chopped, 2  green chillies, split, 2  potatoes, cooked and mashed, 1 tsp methi seeds, 1/2 tsp haldi, 1/2 tsp urad dal, 1/2 tsp chana dal, 1/2  ginger, chopped, 1 sprig of curry leaves, Salt, to taste, For Mysore masala:, 2-3 tsp butter, 2 tbsp onion, chopped, 2 tbsp capsicum, chopped, 2 tbsp carrot, grated, 1 tsp  red chilli powder, 1/2  tomatoes, chopped, 2 tsp pav bhaji masala, Salt, to taste, Processed cheese, grated (as required)",https://c.ndtvimg.com/2023-08/1neu2ido_dosa_625x300_03_August_23.jpg
Aloo Aur Beetroot Ka Halwa Recipe,25 mins,05 mins,20 mins,3.0,Easy,"Potato parbioled and peeled 1 medium, Beetroot parbioled and peeled 3 medium, 1/2 cup Sugar, 125 gram Mawa (khoya), 1/4 tsp Green cardamom powder, 3/4 cup Milk, 3 tbsp Pure ghee, Almonds blanched, peeled and slivered",https://c.ndtvimg.com/2023-09/m5s6hlc8_aloo-aur-beetroot-ka-halwa_625x300_05_September_23.jpg
Atta Vegetable Dosa Recipe,25 mins,05 mins,20 mins,3.0,Easy,"1 Cup whole wheat flour (atta), 1/4 cup rice flour, 1/2 cup mixed vegetables (carrots, bell peppers, onions, etc.), finely chopped, 1-2  green chillies, finely chopped, A handful of fresh coriander leaves, A pinch of asafoetida (hing), 1/2 tsp cumin seeds, Salt to taste, Oil or ghee for cooking",https://c.ndtvimg.com/2023-08/rfhma5e_dosa_625x300_21_August_23.jpg
Darbari Dal Recipe,30 mins,10 mins,20 mins,3.0,Easy,"1/2 Cup masoor dal, 1/2 cup toor dal, 1/2 tsp turmeric powder, 2 tbsp ghee, 1 tsp ginger garlic paste, 1/2  tomato, chopped, 1 tsp coriander powder, 1 tsp cumin powder, 1 tsp red chilli powder, 3-4 tbsp dahi, 1 tsp kasuri methi, 1 tsp coriander leaves, Salt, as per taste, Sugar, as per taste",https://c.ndtvimg.com/2023-08/u4lrelqg_dahiwali-toor-dal_625x300_01_August_23.jpg
Indonesian Nasi Goreng Recipe,45 mins,45 mins,1,,,"1 bowl of cooked rice, 1/2 onion, chopped, 2 garlic pieces, chopped, 100 gm chicken, finely chopped, 2 eggs, 1 carrot, grated, 1/2 cabbage, chopped, 10-12 bokchoy leaves, Spicy paste - (made from garlic, shrimp paste, red chili, kafir lime leaves), 1 Tbsp sweet soya sauce, Pinch of salt, Pinch of ground white pepper, Sambal (Balinese condiment), Corn chips",https://www.ndtv.com/cooks/images/indonesian-nasi-goreng-final_med.jpg
One-Pot White Sauce Pasta Recipe,20 mins,10 mins,10 mins,2.0,Easy,"200 gms Pasta, 1 medium Onion, chopped, 1 medium Red Bell Pepper, chopped, 1 cup Broccoli, 0.5 cup Corn, 0.5 cup Cream, 2  Garlic Cloves, grated, 0.5 cup Cheese, grated, to taste Salt, 0.5 tsp Black Pepper Powder, 1 tsp Oregano, 0.5 tsp Red Chilli Flakes, 2 tbsp Butter, 1 cup Milk, 0.25 cup Olives",https://c.ndtvimg.com/2024-04/g29c32q_white-sauce-pasta_625x300_09_April_24.jpg
Carrot Pasta Sauce Recipe,25 mins,05 mins,20 mins,2.0,Easy,"350 gms boiled pasta of your own choice, 250 gram carrots, chopped into small pieces, 2 small tomatoes, 1 medium-sized onion cut into quarters, 4  garlic cloves, chopped, Olive oil or oil of your choice, 1 cup Vegetable broth, Spices (Salt, black, white, and cayenne pepper), One cup of fresh cream (optional), Dried herbs and oregano (optional)",https://c.ndtvimg.com/2023-05/197kc1t_food_625x300_02_May_23.jpg
Cheesy Pasta With Vegetables Recipe,25 mins,05 mins,20 mins,2.0,Easy,"2 Cups your favourite pasta, 2 tbsp olive oil, 2 cups vegetables (broccoli, corn, bell peppers, mushrooms, etc.), 2 tbsp butter, 2 tbsp all-purpose flour, 2 cup milk, 2 cups shredded cheese (cheddar, mozzarella, parmesan, or a mix), Salt and pepper to taste",https://c.ndtvimg.com/2023-09/pvpnbv08_cheesy-pasta-with-vegetables_625x300_13_September_23.jpg
Oats Pizza Crust Recipe,35 mins,15 mins,20 mins,2.0,Easy,"1 Cup oats, 1/2 cup whole wheat flour, 1 tsp baking powder, A pinch of salt, 1/2 cup hung curd, Toppings:, 1 cup mixed vegetables (onion, bell peppers, cherry tomatoes, olives, spinach, etc.), 1/4 cup crumbled feta or goat cheese or cottage cheese, grated, Fresh basil leaves for garnish, Pizza sauce to spread",https://c.ndtvimg.com/2023-07/qmlsk7b_pizza_625x300_27_July_23.jpg
Watermelon Pizza Recipe,15 mins,15 mins,,,,"Cream Cheese Glaze, 150 gram Softened cream cheese, 1/2 cup Greek yoghurt, 1/4 cup Powdered sugar, 2 tbsp Fresh squeezed orange juice, Topping Fruit:, 10  gram Diced dragon fruit, 10 gram Diced Plum, 10 gram Diced Kiwi, 10 gram Slice cherry, 10 gram Blueberry, 5 gram Mint leaves",https://c.ndtvimg.com/2023-06/c4jao9lo_watermelon-pizza_625x300_06_June_23.jpg
Desi-Style Butter Masala Pasta Recipe,20 mins,05 mins,15 mins,2.0,Easy,"1-2 Cups penne pasta, 2 tbsp oil, 1/2 cup cashew, 3  garlic , chopped, 3  dried red chili, 1  onion , chopped, 2  tomatoes, 2 tsp butter, 1 tsp red chili powder, 1 tsp garam masala, 1/2 tsp haldi, Handful fresh coriander leaves, Salt as per taste, Water",https://c.ndtvimg.com/2023-03/pn0bt0u_pasta_625x300_30_March_23.jpg
Chilli Oil Butter Garlic Pasta Recipe,20 mins,05 mins,15 mins,2.0,Easy,"For Chili Oil:, 2 cups oil, 4-5 crushed garlic cloves, 2  Green Onions, sliced, 1 tsp sliced ginger, 2-star anise, 1 bay leave, 1 cinnamon stick, 1 tbsp sichuan peppercorns or black pepper powder, 1/2 cup chili flakes, 2 tbsp red chili powder, 2 tbsp sesame seeds, 1 tsp salt (as per taste), For Butter Garlic Sauce and Main Recipe:, 2 cups al-dante spaghetti, 4 tbsp butter, 4-5 minced garlic, 1 tsp chili flakes, 1-2 tbsp light soy sauce (as per taste), 2  green onions , chopped, Parmesan Cheese",https://c.ndtvimg.com/2022-12/ovjjud8g_spaghetti_625x300_06_December_22.jpg
Creamy White Sauce Cauliflower Pasta Recipe,30 mins,10 mins,20 mins,2.0,Easy,"400 gms pasta, 1 medium-head Cauliflower, 6 garlic cloves, 1/2 Cup milk (optional), 1 tsp paprika, 1 tsp oregano, Salt and pepper to taste, 1 Cup cheese (optional), grated, Basil/ parsley leaves (for garnish)",https://c.ndtvimg.com/2023-01/6g5e4tf_white-sauce-pasta_625x300_10_January_23.jpg
Creamy Rosso Penne Recipe,25 mins,10 mins,15 mins,2.0,Easy,"140 gm  Penne, 5 gm  Garlic, sliced, 2 gm  Small red chilli, finely sliced, 7 ml  Oil, 30 gm  Roasted mushrooms, 140 gm  Cooked passata, 30 ml  Veg stock, 50 gm  Fresh cream, 15 gm  Black olives, 15 gm  Slow roasted tomato, 5 ml  Extra virgin olive oil, 3 gm  Parmesan, 1 gm  Torn basil, 1  Garlic butter ciabatta toasted",https://c.ndtvimg.com/2023-02/cshqdic8_pasta_625x300_17_February_23.jpg
Polo Coriandolo Pizza Recipe,45 mins,15 mins,30 mins,2.0,Easy,"700 Ml Cold water, 1 kg Flour, 5 gram Yeast, 20 gram Salt, 200 gram Pizza dough, 70 gram Coriander pesto, 50 gram Mozzarella, 20  gram English cheddar, 80 gram Cooked chicken, 10 gram Black olives, 20 gram Red bell pepper slice, 20 gram Red onion slice, 15 gram Feta cheese, 15 gram Mix chillies, 2 gram Coriander leaves yield, 1 gram Salt & pepper, 5 ml Lemon olive oil",https://c.ndtvimg.com/2023-02/gstftj1_pizza_625x300_17_February_23.jpg
Seafood Risotto Recipe,1 hr 15 mins,15 mins,1 hr,2.0,Easy,"400 g  Mixed cherry tomatoes , on the vine, 2  Garlic cloves, 1/2 bunch of  Fresh rosemary, Olive oil, 6  Raw langoustines, or large king prawns, shell on, 300 g  Mussels, scrubbed, debearded, 500 g  Clams, scrubbed, 4  Medium squid, cleaned, gutted, 300 g  Cooked white crab meat, A pinch of Saffron, 1  Large onion, 1 heart of  Celery, 1 bulb of  Fennel, 400 g  Risotto rice, 1/2 glass  White wine, or rosé wine, 1.6 litres  Quality fish stock, 1 knob of  Butter, 30 g  Parmesan cheese, Extra virgin olive oil",https://c.ndtvimg.com/2023-01/mnstcej_risotto_625x300_11_January_23.jpg
Caramelised Shallot Pasta Recipe,1 hr 05 mins,1 hr,05 mins,5.0,Easy,"For pasta dough:, 350 gm  Farina, 150 gm  Semola, 6  Eggs, 3 gm  Salt, For parmesan crumble:, 10 gm  Butter, 5 gm  Garlic, 3 gm  Chilli flakes, 25 gm  Panko bread crumb, 25 gm  Parmesan, For caramelised shallot puree:, 20 gm  Butter, 150 gm  Shallot, sliced, 10 gm  Caper (chopped)/ Can be switched with anchovies for meaty version, 2 gm  Chilli flakes, 1  Bay leaf, For finishing:, 300 gm  Spaghetti, 5 ml  Olive oil, 50 gm  Caramelized shallot puree, 60 ml  Tomato sauce, 2 gm  Flat leaf parsley, 1 gm  Salt, 15 gm  Parmesan, Artichoke (for garnish), Spring onion/ chives (for garnish)",https://c.ndtvimg.com/2022-11/5qlh6i78_pasta_625x300_22_November_22.jpg
Brioche Pizza Recipe,10 mins,05 mins,05 mins,2.0,Easy,"Oil, 1 cup  Mozzarella, 1 cup  Sweet corn, to taste Salt, 1  Small onion, 1  Capsicum, Pizza sauce, Cheese sauce, to taste Pepper",https://c.ndtvimg.com/2022-11/hacqtmd8_pizza_625x300_22_November_22.jpg
Chicken Pizza Crust Recipe,35 mins,10 mins,25 mins,2.0,Easy,"200 gms Minced Chicken, 1  Egg, 1 tsp Oregano, 2 tsp Cornflour, 1/2 cup Mozzarella Cheese, 1/2 cup Parmesan Cheese, 1/2 cup Chilli Flakes, 1 tsp Black Pepper, Salt To Taste, For Toppings:, 1  Chopped Onion, Jalapeno, 6-7 slices  Chicken Salami",https://c.ndtvimg.com/2022-03/k1497uc8_chicken-pizza-crust_625x300_07_March_22.jpg
Pizza Chips Recipe,20 mins,10 mins,10 mins,2.0,Easy,"2 Cups Shredded mozzarella cheese(200 g), 1 tsp Dried basil, 1 tsp Dried oregano, 1 tsp Garlic powder, 50 grams or 1/4 cup  Mini pepperoni slice, to taste Salt, to taste Pepper, To Serve  Marinara sauce",https://c.ndtvimg.com/2021-12/9kr9dpf8_pizza-chips_625x300_24_December_21.jpg
Egg Pasta Recipe,25 mins,10 mins,15 mins,2.0,Easy,"1/2 Cups Penne Pasta, 2  Egg, 1  Onion, 1  Tomato, 1/4 cups Green capsicum, 1/2 tsp Ginger garlic paste, 1/2 tsp Red chilli powder, 1/2 tsp Garam masala powder, to taste Salt, 1/4 tsp Cumin seeds, 2 tsp Oil",https://c.ndtvimg.com/2021-03/aqdvkn8g_pasta_625x300_11_March_21.jpg
Bun Pizza Recipe,25 mins,10 mins,15 mins,2.0,Easy,"4  Buns, 1/2 cup Chopped capsicum, 1/2 cup Chopped onions, 1 tbsp Chopped garlic, 1 cup Grated cheese, Italian seasoning, Salt as required, Butter",https://c.ndtvimg.com/2021-08/6gje1sco_bun-pizza_625x300_05_August_21.jpg
Hariyali Biryani Risotto Recipe,50 mins,15 mins,35 mins,2.0,Medium,"10 gms olive oil, 10 gms butter, 10 gms onion, 5 gms celery, 5 gms leeks, 1 gms chilly flakes, 20 gms green peas, 30 gms broccoli, 20 gms beans, 30 gms mint coriander pesto, 200 gms risotto, 60 gms cream, 5 gms salt, 1 gms pepper, For garnishing:, 1 gms mint",https://c.ndtvimg.com/2019-01/f7maul88_risotto_625x300_31_January_19.jpg
Dum Biryani Risotto Recipe,1 hr,15 mins,45 mins,2.0,Easy,"10 gms olive oil, 10 gms butter, 10 gms garlic , chopped, 10 gms onion, chopped, 5 gms celery, chopped, 5 gms leeks, chopped, 15 gms biryani masala, 70 gms tandoori chicken, 10 gms makhani gravy, 1 gms coriander, chopped, 1 gms mint, chopped, 200 gms risotto, 20 gms cream, 5 gms salt, 1 gms pepper, For garnishing:, 10 gms fried onion, 10 gms lemon wedges",https://c.ndtvimg.com/2019-01/ag8glrpg_risotto_625x300_31_January_19.jpg
Christmas Tree Pizza Recipe,50 mins,15 mins,35 mins,2.0,Medium,"1  pizza dough (2 boules), 1  red pepper, 1/2  red onion, 1/2 cup basil pesto (purchased, homemade or vegan pesto), 2  mozzarella cheese, shredded, Kosher salt",https://c.ndtvimg.com/2018-12/4335ipf8_pizza_625x300_26_December_18.jpg
Fettuccine Pomodoro Recipe,1 hr 05 mins,15 mins,50 mins,4.0,Medium,"400 Gram Fettucine pasta, blanched, 150 ml Olive oil, 18 gram Onion, chopped, 15 gram Garlic, chopped, 700 gram Roma tomato (diced), 5 gram Red pepper flakes, 20 gram Fresh basil, 60 gram Butter, unsalted, 8 gram Dried olive powder",https://c.ndtvimg.com/0oc68rbg_fettuccine-pomodoro_625x300_30_August_18.jpg
Summer Lime Caprese Recipe,25 mins,05 mins,20 mins,6.0,Easy,"20 gms cherry tomatoes (halved), 100 gms bocconcini (cut in small pieces), 30 gms fresh basil, 3-4 tsp extra virgin olive oil, 8-10 gms arqa summer lime dressing, to taste sea salt, Toothpicks / satay sticks",https://i.ndtvimg.com/i/2018-05/lime_620x330_81526274420.jpg
Kuttu Atta Pizza Recipe,4 hrs 35 mins,4 hrs 10 mins,25 mins,4.0,Medium,"1.5 Cup kuttu atta, 1 tsp rock salt, 1 tbsp sugar, 1 tsp baking powder+milk, 1/2 cup mozzarella cheese fresh, 2 cups tomato, peeled, 3 tsp basil, 5 tbsp cottage cheese, 2 tbsp olive oil, to taste rock salt, 1/2 tsp black pepper (crushed, optional), oregano (optional0, green chillies (optional)",https://i.ndtvimg.com/i/2018-03/pizza_620x350_81521450651.jpg
Tiramisu Recipe,35 mins,10 mins,25 mins,1.0,Medium,"3  Eggs, 250 gram Mascarpone cheese, 150 gram Sugar, 3  Long expresso coffees, 6  Ladyfinger biscuits, to taste Cocoa",https://i.ndtvimg.com/i/2018-02/tiramisu_620x330_61517552239.jpg
Tricolour Pizza Recipe,45 mins,10 mins,35 mins,2.0,Easy,"1 (12"")  Pizza base, 50 gms pizza sauce, 110 gms mozzarella cheese, 5 gms black olive, 60 gms green capsicum, 60 gms carrots, 5 gms olive oil",https://i.ndtvimg.com/i/2018-01/pizza_620x330_71516778822.jpg
Panettone Recipe,8 hrs 40 mins,8 hrs,40 mins,10.0,Medium,"250 Gram Flour T-45, 10 gram Fresh Yeast, 75 gram Castor Sugar, 155 gram Milk, 75 gram Whole Eggs, 20 gram Egg Yolks, 80 gram Butter, unsalted, 2.5 gram Bread Improver, 3.5 gram Salt, 80 gram Raisins, 80 gram Candied Orange, 35 gram Candied Lemon, 35 gram Red Cherries",https://i.ndtvimg.com/i/2017-12/panettone_620x330_51513233180.jpg
Saffron Cardamom Panacotta Recipe,2 hrs 35 mins,15 mins,2 hrs 20 mins,5.0,Medium,"450 Ml Fresh Cream, 450 ml Milk, 50 gram Sugar, 12 gram Gelatin Sheets, 6  sticks Saffron, 5 sticks Cardamom",https://i.ndtvimg.com/i/2017-10/panna-cotta-desserts_620x330_51508136344.jpg
Grilled Vegetable Lasagne Recipe,1 hr 30 mins,30 mins,1 hr,2.0,Medium,"1/8 cup Mascarpone cheese, 1 Tbsp garlic (chopped), 1/4 cup zucchini (green), 1/4 cup zucchini (yellow), 1/4 cup broccoli, 2 asparagus stick, 3 lasagna sheets, 1/4 cup cream, 1 Tbsp Parmesan cheese, 1/3 cup Mozzarella cheese, For the White Sauce:, 1/3 cup butter, 1/2 cup all purpose flour, 1 tsp salt, 1/2 tsp nutmeg powder, 1 cup milk",https://www.ndtv.com/cooks/images/lasagna.jpg
Tomato Consomme and Smoked Ricotta Tortelli Recipe,1 hr 30 mins,30 mins,1 hr,2.0,Medium,"2 Tbsp extra-virgin olive oil, 1 large white onion, finely chopped, 1 large clove garlic, smashed and peeled, 3 cups of lower-salt vegetable broth, 3.5 cups of whole peeled plum tomatoes, puréed (include the juice), 1-1/2 tsp sugar, 1 sprig fresh thyme, 3 Tbsp thinly sliced fresh basil, 200 gm of white eggs, 2 Tbsp of tomato puree, For ravioli:, 2 A4 sheet of red fresh pasta, 6 green asparagus, 1 cup ricotta cheese, 3 Tbsp Parmesan cheese, 2 Tbsp butter, 1 cup of apple wood chips, 3 Tbsp of mix herbs (rosemary, thyme), 1 bunch rocket, 1/3 tsp nutmeg, 1/2 Tbsp salt, 1/3 tsp pepper",https://www.ndtv.com/cooks/images/620-5.jpg
Lemon Chicken and Rocket Pasta Recipe,30 mins,10 mins,20 mins,5.0,Easy,"150 gm pasta, 200 gm cooked chicken breast fillets, shredded, 1 tsp of toasted pine nuts, 1 bunch of rocket, shredded, 1 tsp of lemon juice, 2 Tbsp of canola oil, 1 clove garlic, crushed, Sea salt, Cracked black pepper, Finely grated Parmesan",https://www.ndtv.com/cooks/images/Lemon.Chicken.and.Rocket.Pasta.3.jpg
Barley and Spinach Risotto Recipe,1 hr,15 mins,45 mins,2.0,Medium,"1.5 litre veg stock, 25 gms - olive oil, 25 gms - butter, 50 gms - chopped onion, 2 clove garlic, crushed, 3 cups barley, 2 Tbsp freshly chopped sage, 2 tsp finely grated lemon rind, 100 gms baby spinach",https://www.ndtv.com/cooks/images/barley.spinach.risoto%281%29.jpg
