Title,Total Cook Time,Prep Time,Cook Time,Recipe Servings,Difficulty,Ingredients,Image Link
Panko Crusted Cottage Cheese Recipe,50 mins,10 mins,40 mins,2,Easy,"150 Gram Paneer slices, Few  Rosemary leaves, Few  Parsley leaves, A pinch of Smoked paprika, A pinch of Cumin powder, A pinch of Fresh oregano, chopped, 1 Tbsp White flour, 1 1/2 Tbsp Corn flour, 1/2 Cup Milk, 1/2 Cup Breadcrumbs (here the chef uses Panko, Japanese bread crumbs), 30-40 Gram Butter, To season  Salt",https://i.ndtvimg.com/i/2017-04/chicken-nuggets_650x400_51491570650.jpg
Chickpea Soup Recipe,40 mins,10 mins,30 mins,1,Easy,"1 Tbsp Olive oil, 2-3  Garlic cloves, chopped, 1 medium Onion, 1/2 cup Leeks, finely chopped, 1/2 cup Celery, finely chopped, 1/2 cup Chives, finely chopped, Few  Rosemary leaves, Few sprigs  Thyme, Few sprigs  Sage, 1/4  Zucchini, finely chopped, 1/4  Yellow squash, finely chopped, 1 litre Chickpea stock, 1/4  Red bell pepper, finely chopped, 1/4  Yellow bell pepper, finely chopped, 1/4  Green bell peppers, finely chopped, 150 gram Chickpeas (skinned), 1 tsp Red chilli flakes, 20 ml White wine, 30-40 gram Cheddar cheese, grated",https://c.ndtvimg.com/soup_625x300_1528966955264.jpg
Glazed Ham Recipe,2 hrs 25 mins,15 mins,2 hrs 10 mins,2,Medium,"3 Kg ham, soaked, 1/2 kg apples, 1 tbsp butter, 2  lime rind, grated, 3 tbsp raisins, 3 tbsp garden herbs, chopped, Salt and pepper, 2-3 tbsp sugar, For cooking liquid:, Water to cover, 2  beer bottles, 1/2 kg assorted root vegetables, Wisp of hay, 1 tsp peppercorns, 3 tsp mustard powder, 1  bay leaf, A pinch of nutmeg, grated, 1  parsley stalk, 2 chopped apples, For the glaze:, 4 tbsp golden syrup, 100 gms jaggery, grated, 1 tsp prepared mustard, Cloves to stud",https://c.ndtvimg.com/2018-12/kcgijcv8_ham_625x300_21_December_18.jpg
Roast Turkey with Cranberry Sauce Recipe,1 hr 25 mins,15 mins,1 hr 10 mins,2,Difficult,"1  Turkey, 500 gms chicken mince, 200 gms pork meat, 50 gms pork fat, 60 gms pistachio, 60 gms cashew nuts, 60 gms raisins, 20 gms carrots, 2  Eggs, 150 ml cream, 100 ml brandy, A pinch of rosemary, A pinch of parsley, to taste Salt and pepper, 150 gms broccoli, 100 gms carrots, 100 gms baby corn, 200 gms honey glazed potatoes, 150 gms butter, 60 ml red wine, 200 gms cranberry sauce, 200 ml jus, 50 gms horseradish, 100 ml oil",https://i.ndtvimg.com/i/2017-11/turkey_620x350_61511857166.jpg
Grape Chicken Recipe,45 mins,15 mins,30 mins,8,Medium,"1 kg black grapes, 8 boneless chicken breasts with skin, Salt and pepper, 4 Tbsp melted butter, 350 ml chicken stock, Garnish:, Chopped parsley, Extra grapes",https://www.ndtv.com/cooks/images/grape%20chicken_medium.jpg
Honey Roast Chicken Recipe,55 mins,10 mins,45 mins,2,Easy,"1 chicken - whole, with skin, 50 ml lemon juice, 1 tsp garlic paste, 1 1/2 tsp Kashmiri mirch, 50 ml oil, For the marinade:, 2 large onions - sliced and fried in oil until crisp, 150 ml yoghurt, 2 Tbsp ginger paste, 1 ground onion, 1 tsp cumin powder, 1/4 tsp cinnamon powder, 2 ground cloves, 6 ground green cardamoms, 10 ground black peppercorns, 1 tsp salt, For the stuffing:, 3 quartered onions, 1 tsp chopped ginger, 1 tsp chopped garlic, 1/2 tsp powdered cloves, 3 chopped green chillies, For basting:, 50 ml honey, 25 ml oil",https://i.ndtvimg.com/i/2017-11/roast-chicken_620x350_61510571633.jpg
Bacon Wrapped Dates Recipe,45 mins,15 mins,30 mins,2,Medium,"150 gm dates, 50 gm cream cheese, 1 tsp black pepper, 1 tsp chives, 12 bacon rashers, 12 leek ribbons",https://i.ndtvimg.com/i/2015-03/bacon-wrapped-dates_625x350_51427283741.jpg
Leafy Salad with Walnuts Recipe,25 mins,10 mins,15 mins,4,Easy,"3  Leafy vegetables (lettuce, chinese cabbage), 50 Gram Walnuts (grounded), 1 Tbsp Walnut oil, 1 Tbsp Sherry vinegar, 4-5  Cherry tomatoes, A pinch of Salt",https://i.ndtvimg.com/i/2018-05/salad_620x330_61525846627.jpg
Chicken Piccata With Bread Salad Recipe,50 mins,10 mins,40 mins,2,Medium,"For the Chicken:, 2  Chicken breast (batted thinly), 1/3 Cup Flour, 1  Egg, 1/2 Cup Parmesan cheese, 1 tsp Parsley, 1 tsp Chives, 1 Tbsp Butter, 1 tsp Olive oil, To taste Salt & pepper, For Bread Salad:, 1 Small Ciabata bread loaf, 2  Tomatoes, 8  Olives, 1/2  Bell peppers, 3  Basil leaves, 1/2 Cup Olive oil, 2 tsp Red wine vinegar, 1/2 Cup Tomato juice, 1/3 Cup Sun dried tomatoes",https://www.ndtv.com/cooks/images/chicken.picatta.jpg
Smoked Kidney Bean Salad Recipe,35 mins,10 mins,25 mins,4,Easy,"75 Cups Kidney beans (cooked), 1 stalk  Spring onions, 1  Yellow and red bell peppers, 1/2 Cup Cottage cheese, 3-4  Lychees, 1  Green chilly, 1  Radish, 2 tsp Lemon juice, 1/2 Cup Olive oil, 10 Gram Ginger (pickled), To taste Salt & pepper, 1 Bunch Coriander leaves, 1 tsp Cumin seeds, 1/2  Orange (juiced), A pinch of Orange zest",https://www.ndtv.com/cooks/images/smoked-kidney-bean-salad_med.jpg
Sausage Pepper Burger Recipe,25 mins,05 mins,20 mins,2,Easy,"2 tsp oil, 1 onion, sliced, 1/2 yellow bell pepper, julienne, 1/2 capsicum, julienne, 3-4 sausages. sliced, Salt, 1 tsp grated ginger, 1 green chilli, chopped, 1-2 tsp soy sauce, 1-2 tsp chilli sauce, 2 tsp honey, 1 tsp rosemary, chopped, Burger buns, 1 tsp olive oil, to dab on the buns, Pepper, Optional: Lettuce leaves, tomato slices, cheese slices, jalapeno, gherkins.",https://c.ndtvimg.com/2018-10/7j12b4c_chicken_625x300_11_October_18.jpg
"Pineapple, Cheese and Ham Salad Recipe",30 mins,10 mins,20 mins,2,Easy,"1/2 cup diced ham or fried bacon bits, 4 pineapple slices-canned or stewed, 1 cup cheese-cut into 1cm/1/2, 1 small red bell pepper (simla mirch), 1 small yellow bell pepper, 1 small green bell pepper, 1/4 cup pickled gherkins-chopped fine, 2 Tbsp vinegar, 1 tsp salt or to taste, 1 tsp paprika",https://www.ndtv.com/cooks/images/pineapple.cheese.and.ham.salad.jpg
Fish Mayonnaise Recipe,30 mins,10 mins,20 mins,4,Easy,"650 gm fish fillets, 1 Tbsp lemon juice, 2 tsp salt or to taste, 1 Tbsp finely chopped celery (optional), 1 cup mayonnaise, Greens - to garnish",https://www.ndtv.com/cooks/images/fish-mayonnaise-new_med.jpg
Apple Sauce Recipe,40 mins,10 mins,30 mins,2,Easy,"1 kg apples - peeled, cored, sliced, 1 cup water, 1 Tbsp lemon juice, 1/4 cup sugar, 1 tsp ground cinnamon (dalchini)",https://www.ndtv.com/cooks/images/applesauce_medium.jpeg
Date and Walnut Pie Recipe,1 hr 10 mins,10 mins,1 hr,2,Intermediate,"For the Pastry:, 1 cup refined flour, 1 tsp powdered sugar, 1/3 cup butter, Cold water - to mix, For the Filling:, 80 gm walnuts - chopped fine, 40 gm dates - chopped fine, 1 cup milk - mixed with 2 tsp cornflour, 1/4 cup butter, 1/4 cup sugar, 1/4 brown sugar, A 6-7 inch pie dish - for baking",https://www.ndtv.com/cooks/images/walnut-and-date-pie_med.jpg
Roast Leg of Ham Recipe,40 mins,05 mins,35 mins,4,Intermediate,4-5 kg smoked leg of ham 5-6 cinnamon sticks 5-6 bay leaves 4-5 black cardamoms Water Mustard - to taste Honey - to cover ham 15-20 cloves 2-3 tsp bread crumbs 3-4 pineapple slices Pineapple juice (optional),https://www.ndtv.com/cooks/images/Roast%20Leg%20of%20Ham_medium.jpg
Grilled Citrus Fish Recipe,40 mins,15 mins,25 mins,2,Intermediate,"2 fillets  sole, 2 tsp olive oil, 3 tsp lemon juice, 4-5 tbsp orange juice, 1/2 tsp garlic, finely chopped, 2 tsp fresh parsley, chopped, 5-6  basil, 2-3  orange slices (de-seeded), 10-12  onion rings, to taste salt, to taste pepper, rocket leaves",https://c.ndtvimg.com/grilled-fish_625x300_1528713784892.jpg
Scotch Eggs Recipe,1 hr 10 mins,10 mins,1 hr,8,Intermediate,"1/2 Kg pork sausage meat, 1 peeled and chopped onion, 1 tsp mixed, dried herbs, Salt and pepper, 4 hardboiled, shelled eggs, Flour for coating, 1  beaten egg, 150 gm dried breadcrumbs, Oil for deep frying, For Tomato Salad:, 4 sliced tomatoes, 1 sliced onion, 3 Tbsp oil, 1 Tbsp lemon juice, 1/2 tsp chopped garlic, A pinch of mustard powder",https://www.ndtv.com/cooks/images/Scotch.Eggs_pg.jpg
Bacon and Herb Scones Recipe,35 mins,35 mins,4,N/A,N/A,"250 gms flour, 2 1/2 tsp baking powder, 50 gms chilled diced butter, 50 gms grated cheese, 3 Tbsp grilled bacon - crumbled, 1 Tbsp chopped herbs, 1 egg, 120 ml beaten curd, Freshly ground pepper, Flour for dusting, To Serve:, Butter, 1 tsp prepared mustard",https://www.ndtv.com/cooks/images/bacon-herb-scones_med.jpg
Hot Cross Buns Recipe,2 hrs 15 mins,15 mins,2 hrs,6,Intermediate,"450 gm flour, 1 1/2 tsp cinnamon powder, 1 tsp salt, A pinch of grated nutmeg, 25 gm yeast, 50 gm sugar, 2 eggs, 75 gm raisins, 75 gm chopped candied peel, Beaten egg to glaze",https://www.ndtv.com/cooks/images/hot-cross-buns_medium.jpg
Grilled Lobster with Wine Sauce Recipe,45 mins,45 mins,2,N/A,N/A,"400 gm lobster, salt and white pepper, 1/2 tsp mustard, 1 finely chopped onion, juice 2 limes, 1 tsp chopped garlic, 25 gm butter, For wine sauce, 2 egg yolks, 30 ml white wine, salt, grated rind 1 lime",https://i.ndtvimg.com/i/2016-03/lobster-curry-625_625x350_81457506601.jpg
Chicken Pie Recipe,1 hr 10 mins,10 mins,1 hr,2,Intermediate,"Oven temp: 325 F/160 C, 1/2 Kg Chicken (boneless, cooked and diced), 2 Cups Refined flour, 3/4 Cup Butter, 1 tsp Vinegar (in an egg or 1/4 cup cold milk), 1/4 tsp Salt, 1 tsp Baking powder, 1 Tbsp Egg (slightly beaten) or milk (to glaze the pie), 2 Cups Milk, 2 Tbsp Refined flour, 1 Tbsp Butter, 1 tsp Salt, 1/4 tsp Pissi kali mirch",https://www.ndtv.com/cooks/images/chicken-pie_medium.jpg
Microwave Chicken Steak Recipe,30 mins,15 mins,15 mins,4,Easy,"4 Large Chicken breasts (boneless), 2  Eggs (slightly whisked), 1/2 tsp Ginger paste, 1/2 tsp Garlic paste, 1 Cup Onions, finely chopped, 2 Tbsp Coriander leaves, chopped, 2  Green chillies, finely chopped, 1 Tbsp Black pepper powder, Enough to make a thick coating  Flour, 1 Tbsp Vinegar, To taste Salt, As required  Oil",https://www.ndtv.com/cooks/images/microwave-chicken-steak_med.jpg
Filled Cucumber Cases Recipe,30 mins,10 mins,20 mins,8,Easy,"6  Cucumbers (cut into 1"" slices), peeled, 1 Tbsp Sweet chutney, 250 Gram Shellfish (shelled, prepared and cooked), 125 Ml Home made Mayonnaise, 2 tsp Lemon juice, 2 Tbsp Thick yogurt, 1 Tbsp White radish, grated, 1/2 tsp Garlic paste, 1 Tbsp Coriander, chopped, 1  Green chilli, chopped, 1 Tbsp Gherkins, finely chopped, 1 Tbsp Tomato puree, For the Garnish:, 1  Rind of orange, shredded, Chilli powder (mild)",https://www.ndtv.com/cooks/images/filled%20cucumber%20cases%20new_med.jpg
Grilled Chicken with Shallot Sauce Recipe,30 mins,30 mins,4,N/A,N/A,"220 gm chicken breast with skin, 2 gm crushed black pepper, 4 gm salt, 15 gm grated onion, 3 gm mustard paste, 30 ml olive oil, 7 pieces black olive, stoned and chopped, For the sauce:, 20 gm butter, 30 gm shallot grated, Salt and black pepper to season, 60 ml red wine",https://www.ndtv.com/cooks/images/grilled-chicken-shallot-sauce_med.jpg
Chicken Salad Recipe,25 mins,05 mins,20 mins,6,Easy,"1 Kg Chicken (boneless, cooked and diced), 1/4 cup Mayonnaise sauce, 2 tbsp Cream, 1/4 cup Cabbage, chopped, 2 tbsp Tomato ketchup, 1 tsp Chilli sauce, Lettuce leaves, To garnish  Spring onions",https://www.ndtv.com/cooks/images/chicken.salad.niru.gupta.jpg
Mutton Stew Recipe,1 hr 15 mins,15 mins,1 hr,4,Intermediate,"500 gms mutton (cut into cubes), 1 cup onions (cut coarsely), 2 tbsp butter, 1/4 cup flour, 2 tsp salt, 1/4 tsp black pepper, powdered, 4 cups water, 1/4 cup carrots, sliced, 3/4 cup potatoes (diced), 1/4 cup french beans (cut into 2-3 pieces each), 1/8 tsp nutmeg, grated",https://c.ndtvimg.com/2018-09/3l4e792_chicken-stew_625x300_13_September_18.jpg
Grilled Vegetable Capachio Recipe,25 mins,05 mins,20 mins,4,Easy,"50 Gram Lettuce (cleaned, washed & amp; broken), 15 Gram Onion rings, grilled, 25 Gram Tomatoes (sliced), grilled, 15 Gram Green Capsicum rings , grilled, 15 Gram Yellow Capsicum rings, grilled, 15 Gram Red Capsicum rings, grilled, 30 Gram Aubergine (sliced), grilled, 30 Gram Chedder Cheese, sliced, 25 Ml Olive oil, 15 Gram Basil leaves, 2 Gram Milled Pepper powder, To taste Salt, 1 1/2  Juice of Lemons, 20 Gram Walnuts (crushed), roasted",https://www.ndtv.com/cooks/images/grilled%20veg%20crop.jpg
Mushroom and Herb Filled Tomatoes Recipe,45 mins,15 mins,30 mins,6,Easy,"6 Large Firm Tomatoes, 1 tsp Butter, 1 Large Onion, finely chopped, 100 Gram Mushrooms, finely chopped, 2 tsp Four, 150 Ml Milk (Scalded, flavored with mustard, bay leaf, peppercorns and nutmeg), 1  Capsicum (diced), 2 tsp Garden herbs, A pinch of Chilli powder, To taste Salt and pepper, For the topping:, 2 Tbsp Breadcrumbs (fresh), 1 tsp Butter/Oil, 1 tsp Garlic, finely chopped, 1/2 tsp Basil leaves/Oregano (optional)",https://www.ndtv.com/cooks/images/tomtoes-with-mushroom_med.jpg
Cheese and Lamb Steaks Recipe,1 hr,15 mins,45 mins,4,Intermediate,"2 Tbsp Basil Leaves, 1  Bay Leaf, 2 sprigs  Fresh Thyme, 4 Tbsp Olive Oil, 1 Large Onion (ground), 1 Kg Tomatoes(peeled and seeded), chopped, 3 tsp Garlic, finely chopped, 4  Lamb Steaks, 2 Tbsp Flour (seasoned), 2  Eggs(beaten), 150 Gram Fresh breadcrumbs, 25 Gram Cheese, grated, 1 Tbsp Parsley, finely chopped, 100 Ml Oil, 50 Gram Butter, 250 Gram Mozzarella Cheese-sliced",https://www.ndtv.com/cooks/images/cheese-and-lamb-steak_med.jpg
Chicken Steak Recipe,40 mins,10 mins,30 mins,8,Intermediate,"4 Large chicken breasts (boneless), 2  Eggs (slightly whisked), 1 tsp ginger paste, 1 tsp garlic paste, 1 cup onions, finely chopped, 2 tbsp coriander leaves, chopped, 2  green chillies, finely chopped, 1 tsp black pepper powder, flour (enough to make a thin coating), 1 tbsp vinegar, to taste salt, Oil (to pan fry)",https://c.ndtvimg.com/2019-09/7gqbduk8_paneer-steak_625x300_26_September_19.jpg
कीमा पुलाव रेसिपी (Keema Pulao   Recipe),1 घंटा,45 मिनट,15 मिनट,2,Intermediate,"250 gms प्लांट बेस्ड मटन कीमा, 2 ग्राम इलायची, 2 ग्राम लौंग, 2 ग्राम दालचीनी, 350 ग्राम चावल, 100-120 ग्राम प्याज , टुकड़ों में कटा हुआ, 40 ग्राम हरी मिर्च, 6 ग्राम हल्दी पाउडर, 30 ग्राम गरम मसाला, 120 ml (मिली.) तेल, पुदीना, गार्निश के लिए, धनिया, गार्निश के लिए, स्वादानुसार नमक, 475 ml (मिली.) पानी",https://c.ndtvimg.com/2022-10/4m24mou8_pulao_625x300_31_October_22.jpg
हॉट डॉग रेसिपी (Hot Dog   Recipe),20 मिनट,10 मिनट,10 मिनट,2,आसान,"2 टुकड़े प्लांट बेस्ड सॉसेज, 2  हॉट डॉग बन्स, 1/2 टी स्पून मक्खन, 100 ग्राम सफेद पत्ता गोभी, गुच्छा, 40 ग्राम बैंगनी गोभी , गुच्छा, 40 ग्राम गाजर, गुच्छा, 120 ग्राम मेयोनेज़",https://c.ndtvimg.com/2022-10/jiuj6kh8_hot-dog_625x300_31_October_22.jpg
कीमा पाव रेसिपी (Keema Pav   Recipe),30 मिनट,20 मिनट,10 मिनट,2,आसान,"250 ग्राम प्लांट बेस्ड कीमा, 4  पाव बन्स, 80 ml (मिली.) तेल, 2 ग्राम इलायची, 2 ग्राम लौंग, 2 ग्राम दालचीनी, 30 ग्राम हरी मिर्च, 150 ग्राम प्याज, 80 ग्राम टमाटर, 60 ग्राम अदरक-लहसुन पेस्ट, 6 ग्राम हल्दी पाउडर, 15 ग्राम मिर्च पाउडर, 30 ग्राम गरम मसाला, 2-3 ग्राम कसूरी मेथी, हरा धानिया गार्निश, नींबू का रस गार्निश, स्वादानुसार नमक",https://c.ndtvimg.com/2022-10/eptbfqm8_keema-pav_625x300_31_October_22.jpg
एगी ब्रेड बीएलटी रेसिपी (Eggy bread blt   Recipe),35 मिनट,05 मिनट,30 मिनट,3,आसान,"6-8 (छिलका हटा हुआ)  बैकन, 1  सियाबाता या फ्रेंच बैगेट ब्रेड, 6  अंडे, 2 टेबल स्पून दूध, 1 टेबल स्पून हल्का जैतून का तेल, 2  टमाटर , बारीक कटा हुआ, 25 ग्राम रॉकेट पत्तियां, 1 टेबल स्पून दीजॉन सरसों, 2 टेबल स्पून मेयोनीज़, टमाटर कैचअप, स्वादानुसार ताज़ा कुटी हुई काली मिर्च और नमक",https://i.ndtvimg.com/i/2017-11/eggy-bread_620x330_81510728760.jpg
हर्ब स्टफ्ड चिकन रेसिपी (Herb stuffed chicken   Recipe),50 मिनट,05 मिनट,45 मिनट,4,मीडियम,"4 (बोनलेस)  चिकन लेग्स, 2 टेबल स्पून नींबू का रस, 2 टी स्पून लहसुन  , टुकड़ों में कटा हुआ, 1  हरा प्याज़, टुकड़ों में कटा हुआ, नमक और काली मिर्च, 50 ग्राम मक्खन, 2  (छिलका और रस दोनों)  नींबू, 125 ml (मिली.) चिकन स्टॉक, 1 ½ टी स्पून मक्की का आटा, 1 टेबल स्पून पानी, 1 टेबल स्पून गार्डन हर्ब, टुकड़ों में कटा हुआ, ¼  टी स्पून हल्की मिर्च पाउडर, 1/2 टी स्पून चीनी, 1 टेबल स्पून मक्खन, पिघला हुआ",https://i.ndtvimg.com/i/2017-11/herbs-chicken_620x330_41510659503.jpg
ग्रिल्ड चिकन विद शलाट सॉस रेसिपी (Grilled chicken with shallot sauce   Recipe),35 मिनट,05 मिनट,30 मिनट,4,मीडियम,"220 ग्राम चिकन कलेजी, 2 ग्राम काली मिर्च, 4 ग्राम नमक, 15 ग्राम प्याज, कद्दूकस, 3 ग्राम सरसों का पेस्ट, 30 ml (मिली.) जैतून का तेल, 7 पीस  ब्लैक ऑलिव, टुकड़ों में कटा हुआ, सॉस बनाने की सामग्रीः, 20 ग्राम मक्खन, 30 कप हरी प्याज, टुकड़ों में कटा हुआ, नमक, काली मिर्च, 60 ml (मिली.) रेड वाइन",https://i.ndtvimg.com/i/2017-11/chicken_784x446_81510647255.jpg
मस्टर्ड सॉस ग्रिल्ड चिकन रेसिपी (Grilled chicken in mustard sauce   Recipe),40 मिनट,10 मिनट,30 मिनट,4,मीडियम,"ग्रिल्ड चिकन के लिएः, 4 (आधे)  बोनलेस चिकन ब्रेस्ट, 1 टेबल स्पून एक्सट्रा वर्जिन जैतून का तेल, सॉस के लिएः, 1  प्याज़, बारीक कटा हुआ, 2 टेबल स्पून मक्खन, 200 ml (मिली.) व्हाइट वाइन, 3 टेबल स्पून फ्रेंच मस्टर्ड, 250 ml (मिली.) गाढ़ी क्रीम, ¼  टी स्पून नमक, ¼  टी स्पून काली मिर्च",https://i.ndtvimg.com/i/2017-11/chicken_620x350_41510637184.jpg
चिकन स्टीक रेसिपी (Chicken steak   Recipe),40 मिनट,10 मिनट,30 मिनट,8,मीडियम,"4 पीस (बड़े साइज़ के, बोनलेस)  चिकन ब्रेस्ट, 2 (हल्के फेटे हुए)  अंडे, 1 टी स्पून अदरक का पेस्ट, 1 टी स्पून लहसुन का पेस्ट, 1 कप प्याज़, बारीक कटा हुआ, 2 टेबल स्पून हरा धनिया, 2   हरी मिर्च , बारीक कटा हुआ, 1 टी स्पून काली मिर्च पाउडर, (पतली कोटिंग करने के लिए)  मैदा, 1 टेबल स्पून सिरका, स्वादानुसार नमक, (स्टीक्स को पैन फ्राई करने के लिए)  तेल",https://c.ndtvimg.com/2019-09/7gqbduk8_paneer-steak_625x300_26_September_19.jpg
ब्रेड रोल्स रेसिपी (Bread rolls   Recipe),40 मिनट,10 मिनट,30 मिनट,4,मीडियम,"200 डिग्री सैल्सियस या 400 डिग्री फैहरनहाइट  ओवन का तापमान, 2 कप मैदा, 1 टी स्पून सूखा खमीर, 1/2 टी स्पून चीनी, जो कि गुनगुने पानी में घुली हुई हो, 1 टी स्पून नमक, 1 टेबल स्पून तेल, (आटा गूंथने के लिए)  गुनगुना पानी, घी लगी बेकिंग ट्रे, 1  अंडा  , फेंटा हुआ",https://i.ndtvimg.com/i/2017-10/bread-rollsrecipe_620x333_81508152082.jpg
बेक्ड मशरूम और शिमला मिर्च रेसिपी (Baked mushroom and capsicum   Recipe),30 मिनट,30 मिनट,N/A,N/A,N/A,"325 फैहरनहाइट-160 सैल्सियस  ओवन का तापमान, 2 टेबल स्पून मक्खन, 1 कप प्याज़, बारीक कटा हुआ, 1  बड़ा शिमला मिर्च , बारीक कटा हुआ, 200 ग्राम मशरूम , टुकड़ों में कटा हुआ, 2 टी स्पून नमक, 1 टी स्पून काली मिर्च , पाउडर, 3 कप चीज़ , कद्दूकस, (गार्निशिंग के लिए)  टमाटर के कुछ पीस, व्हाइट सॉस तैयार करने के लिएः, 2 कप दूध, 1 कप मैदा, 2 टेबल स्पून मक्खन",https://i.ndtvimg.com/i/2017-10/bakedmushroomcapsicum_620x330_81507179171.jpg
रसगुल्ला रेसिपी (Rasgulla   Recipe),50 मिनट,10 मिनट,40 मिनट,2,मीडियम,"(कम चिकनाई वाला, उबला हुआ और पूरी रात के लिए फ्रिज में रखा हुआ) 2  लीटर दूध, (¼ कप पानी में मिला हुआ)¼ कप नींबू का रस, (आप इसमें मैदा की जगह सूजी का भी इस्तेमाल कर सकते हैं) 1 टी स्पून मैदा, (गुलाब जल या इलायची का फ्लेवर डली) 4 कप चाश्नी",https://i.ndtvimg.com/i/2017-10/rasgulla-recipe_620x330_51508133855.jpg
Sweet And Savoury French Toast Recipe,10 mins,05 mins,05 mins,4,Easy,"3  Eggs, 1/4 cup Milk, 8  Bread Slices, 2 tsp Sugar, 1/2 tsp Salt",https://c.ndtvimg.com/2022-07/b6ri986_french-toast_625x300_06_July_22.png
Wild Berry And Franzipani Tart Recipe,40 mins,20 mins,20 mins,2,Medium,"50 gms Franzipani Mix, 150 gram Sweet Paste, 100 gram Strawberry, 100 gram Raspberry, For Filling, 4 gram Agar-Agar, 75 gram Cream, 50 gram Sugar, 75 gram Whipped Cream, 10 gram Pistachio",https://c.ndtvimg.com/2022-02/vg07l8s_desserts_625x300_14_February_22.jpg
Fish Duglere Recipe,35 mins,10 mins,25 mins,2,Medium,"4 fillets  Sole fish (can also use other fish of choice), 4  Garlic cloves, chopped, 1  Onion, finely chopped, 1  Tomato (skinned and deseeded), chopped, 20 gram Celery stick, chopped, 1 tsp Parsley, chopped, 60 ml White wine, 1 cup Fish stock, 50 ml Tomato concasse, 20 gram Butter, Salt, White pepper powder, Tabasco (optional)",https://c.ndtvimg.com/2018-09/7a5i51c8_fish_625x300_07_September_18.jpg
Spinach and Feta Crepes Recipe,30 mins,10 mins,20 mins,2,Medium,"For crepes:, 1/4 cup milk (whole fat or skimmed), 1/2 cup flour, 1/3 cup water, 1/8 cup butter, melted, 1 tsp honey, A pinch of salt, 1 tbsp vegetable oil, Extra butter (for crisping the crepe), For the filling:, 200 gms spinach, chopped, 150 gms feta cheese (crumbled), 100 gms greek yogurt (whisked), 2 tbsp honey",https://c.ndtvimg.com/9c3n75ao_crepes_625x300_03_September_18.jpg
Steamed Chicken Roulade Recipe,1 hr 05 mins,20 mins,45 mins,2,Medium,"For Bolognaise:, 0.2 kg Lamb mince, 0.025 kg Garlic, 0.01 kg Salt, 0.01 kg Paprika powder, 0.2 kg Pomodaro Tomatoes, 0.01 litre Olive oil, 0.025 kg Celery, 0.075 kg Shallots, 0.05 kg Carrot, 0.002 kg Black pepper, 0.005 kg Bay leaf, 0.005 kg Yellow chilli powder, 0.025 kg Cilantro, For Roulade:, 0.2  Chicken thigh, 0.005  Salt, 0.003  White pepper powder, 0.01  Garlic paste, 0.005  White wine vinegar, 0.01  Olive oil, 0.002  Yellow chilli powder, For Curry:, 0.02 litre Refined Oil, 0.003 kg Fenugreek seeds, 0.003 kg White pepper powder, 0.005 kg Garlic, 0.025 kg Fenugreek leaves, 0.1 kg Onion, 0.05 kg Broken cashew, 0.005 kg Salt, 0.025 litre Fresh cream, 0.003 kg Kasoori methi",https://i.ndtvimg.com/i/2018-01/chicken-roulade_620x300_41515395848.jpg
Cheese Souffles with Apple Walnut and Pomegranate Salad Recipe,35 mins,10 mins,25 mins,2,Easy,"240 Ml Milk, 3 tbsp Plain flour, 60 gram Butter, unsalted, 6  Eggs (whole), 175 gram Mature cheddar cheese, grated, 1 tbsp Chives, Sea salt, Black pepper (cracked), 5 tbsp Parmesan cheese, grated, 2  Red apples (cored and cut into eight), 6 tbsp Whole walnuts, 150 gram Rocket leaves, 6 tbsp Pomegranate seeds, 2 tsp Walnut oil",https://c.ndtvimg.com/m5r313e8_cheese-souffle_625x300_25_July_18.jpg
Lobster Thermidor Recipe,45 mins,10 mins,35 mins,2,Medium,"1 whole lobster (weighing approx. 500 grams), 100 gms mushrooms, 8 gms garlic, 10 gms red onion, 50 ml fresh cream, 1 egg yolk, 60 ml cognac, 10 gm thyme, A pinch of nutmeg, 10 - 20 gms Parmesan cheese, 20 - 30 gms Gruyere cheese",https://www.ndtv.com/cooks/images/Lobster-Thermidor-1100x800.jpg
Crepe Suzette Recipe,30 mins,05 mins,25 mins,4,Medium,"6 Tbsp flour, 5  Eggs, 6 tbsp milk, 3 tbsp heavy cream, Unsalted butter, as needed, For the sauce:, 3  Oranges, 16 tbsp unsalted butter, softened, 10 tbsp sugar, 7 tbsp Cointreau, 1 tsp orange juice, 5 tbsp cognac, For the crepes:, 6 tbsp flour, 6  Eggs, 6 tbsp milk, 3 tbsp heavy cream, Unsalted butter, as needed, 3  Oranges, 16 tbsp unsalted butter, softened, 10 tbsp sugar, 7 tbsp Cointreau, 1 tsp orange flower water, 5 tbsp cognac",https://www.ndtv.com/cooks/images/crepes-suzette.jpg
Spinach and Potato Soup Recipe,35 mins,10 mins,25 mins,2,Easy,"100 gms potatoes (chopped), peeled, 30 gms leeks, chopped, 50 gms butter, 20 ml olive oil, 300 ml full cream milk, 60 ml cream, 150 gms spinach (cleaned), chopped, 8  garlic cloves, chopped, 60 gms onion, chopped, 1 tsp thyme, chopped, A pinch of nutmeg, to taste salt, to taste white pepper powder",https://c.ndtvimg.com/2020-02/fugdg0hg_pumpkin-soup_625x300_18_February_20.jpg
